Lift,Training Max
Squat,100
Bench,58
Deadlift,138

,Day 1,,,Day 2,,,Day 3,,
Week Starting,Squat,Actual Load,,Bench,Actual Load,,Deadlift,Actual Load,
05/12/22,75.0 kg x 6,,,45.0 kg x 6,,,102.5 kg x 6,,
12/12/22,77.5 kg x 6,,,45.0 kg x 6,,,107.5 kg x 6,,
19/12/22,80.0 kg x 6,,,47.5 kg x 6,,,110.0 kg x 6,,
26/12/22,80.0 kg x 6,,,47.5 kg x 6,,,112.5 kg x 6,,
02/01/23,82.5 kg x 6,,,47.5 kg x 6,,,112.5 kg x 6,,
,,,,,,,,,
Week Starting,Paused Bench,Actual Load,,Paused Deadlift,Actual Load,,Safety Squat Bar,Actual Load,
05/12/22,40.0 kg x 3,,,87.5 kg x 3,,,70.0 kg x 3,,
12/12/22,40.0 kg x 3,,,90.0 kg x 3,,,72.5 kg x 3,,
19/12/22,42.5 kg x 3,,,92.5 kg x 3,,,75.0 kg x 3,,
26/12/22,42.5 kg x 3,,,92.5 kg x 3,,,75.0 kg x 3,,
02/01/23,42.5 kg x 3,,,95.0 kg x 3,,,77.5 kg x 3,,
,,,,,,,,,
Week Starting,Romanian Deadlift,Actual Load,,Face Pulls,Actual Load,,Chest Fly,Actual Load,
05/12/22,67.5 kg x 6,,,15.0 kg x 12,,,15.0 kg x 12,,
12/12/22,70.0 kg x 6,,,15.0 kg x 12,,,15.0 kg x 12,,
19/12/22,72.5 kg x 6,,,15.0 kg x 12,,,17.5 kg x 12,,
26/12/22,72.5 kg x 6,,,15.0 kg x 12,,,17.5 kg x 12,,
02/01/23,75.0 kg x 6,,,15.0 kg x 12,,,17.5 kg x 12,,
,,,,,,,,,
Week Starting,Bulgarian Split Squat,Actual Load,,Tricep Pushdowns,Actual Load,,Incline Bench Press,Actual Load,
05/12/22,20.0 kg x 12,,,15.0 kg x 12,,,37.5 kg x 4,,
12/12/22,20.0 kg x 12,,,15.0 kg x 12,,,40.0 kg x 4,,
19/12/22,20.0 kg x 12,,,15.0 kg x 12,,,40.0 kg x 4,,
26/12/22,20.0 kg x 12,,,15.0 kg x 12,,,42.5 kg x 4,,
02/01/23,20.0 kg x 12,,,15.0 kg x 12,,,42.5 kg x 4,,
,,,,,,,,,
Week Starting,Superman Ab Crunch,Actual Load,,,Actual Load,,Bicep Curls,Actual Load,
05/12/22,0 kg x 12,,,,,,0 kg x 12,,
12/12/22,0 kg x 12,,,,,,0 kg x 12,,
19/12/22,0 kg x 12,,,,,,0 kg x 12,,
26/12/22,0 kg x 12,,,,,,0 kg x 12,,
02/01/23,0 kg x 12,,,,,,0 kg x 12,,
,,,,,,,,,
